Stories,FinSqft,Bedrms,Baths,LotSize,SaleDate,month,SalePrice,Ald,Age,FullBase,Attic,FIREPLACE,AIR_CONDITIONING,Garage,X,Y
2,2070,6,2,6477,2012,7,81000,2,51,1,0,0,0,1,2529803.875,416386.4745
2,1984,6,2,5880,2012,9,93000,2,55,1,0,0,0,0,2530614.997,409162.4293
2,1970,6,2,6656,2012,11,76900,2,47,1,0,0,1,1,2529930.337,416501.516
1,1959,4,2,22000,2012,7,146483,2,38,1,0,1,1,1,2526841.819,423974.1443
1,1406,3,1.5,10368,2012,6,119900,2,51,1,0,1,1,1,2524786.191,417650.1274
1,1298,3,2,12555,2012,7,69800,2,58,1,0,1,1,1,2532240.59,413564.6193
1,1256,3,1,10720,2012,5,63000,2,58,1,0,0,1,1,2532540.25,406758.5929
1,1247,4,1.5,6480,2012,1,88950,2,57,1,0,0,1,1,2530198.147,410743.9305
1,1243,3,2,5330,2012,11,116500,2,56,1,0,0,1,1,2536785.585,403215.2496
1,1226,3,1.5,7500,2012,8,123100,2,53,1,0,1,1,1,2525416.818,418113.0201
1,1198,3,2,7255,2012,12,90500,2,32,1,0,1,0,1,2522832.14,419959.9272
1,1176,3,1.5,4920,2012,10,67900,2,58,1,0,0,1,1,2536153.963,410171.9362
1,1151,3,2,7860,2012,1,99000,2,49,1,0,1,1,1,2527644.291,415294.1813
1,1148,3,2,4800,2012,1,63000,2,55,1,0,0,1,1,2535515.585,410083.2043
1,1144,2,2,4920,2012,1,68000,2,56,1,0,0,1,1,2536150.959,410458.4692
1,1121,3,1,13696,2012,8,100000,2,50,1,0,0,1,1,2525468.585,417630.0613
1,1120,4,1.5,8040,2012,4,91000,2,42,1,0,0,1,1,2523344.825,419307.1991
1,1103,3,1.5,5040,2012,4,69000,2,53,1,0,0,1,1,2533862.698,407165.0696
1,1091,3,1,5280,2012,6,54000,2,64,0,0,0,1,1,2531626.432,414508.8456
1,1071,3,1,5782,2012,8,97000,2,51,1,0,0,1,1,2526476.17,414979.9804
1,1046,3,1.5,6600,2012,9,69000,2,56,1,0,0,1,1,2531190.41,409959.0024
1,1044,3,1.5,4800,2012,10,54000,2,52,1,0,0,1,1,2533743.376,416972.4776
1,1043,3,1,4800,2012,6,97000,2,54,1,0,0,1,1,2532697.195,407487.9197
1,1040,3,1,5000,2012,10,72000,2,54,1,0,0,1,1,2535391.489,408074.8497
1,1032,3,1,5400,2012,1,89000,2,64,1,0,0,1,1,2533186.54,407261.233
1,1019,3,1,7740,2012,8,81000,2,54,1,0,0,1,1,2528345.099,412757.7288
1,1019,3,2,7200,2012,10,80000,2,54,1,0,0,1,1,2528005.384,412597.1928
1,988,3,2,5125,2012,7,93500,2,57,1,0,0,1,1,2535208.067,407241.5255
